Title	Assignees	Status	Start date	End date	Iteration	Hours Completed
Drawing/SDD	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Oct 8, 2024	Oct 15, 2024	Sprint 4	
Team Charter	JohnDT-MechE, parkeramber	Done	Sep 6, 2024	Sep 9, 2024	Sprint 2	3
Add questions for Jake and Deigo in drive	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Done	Sep 9, 2024	Sep 11, 2024	Sprint 2	1
ConOps	DiegoG185593, parkeramber	Done	Sep 5, 2024	Sep 11, 2024	Sprint 2	5
Functional Block Diagram , functional requirements in proposal	DiegoG185593, parkeramber	Done	Sep 16, 2024	Sep 22, 2024	Sprint 2	3
Statement of Work in Proposal	parkeramber	Done	Sep 16, 2024	Sep 21, 2024	Sprint 2	
Turn in Proposal	carlywingness, JohnDT-MechE, m-colson, parkeramber	Done	Sep 16, 2024	Sep 23, 2024	Sprint 2	0.25
Requirements Scrimmage 1	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Sep 12, 2024	Oct 3, 2024	Sprint 3	0.5
Requirements Scrimmage 2	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Oct 3, 2024	Oct 8, 2024	Sprint 3	
PDR Presentation	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Sep 24, 2024	Oct 21, 2024	Sprint 4	
PDR Team Eval	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Oct 22, 2024	Oct 28, 2024	Sprint 4	
System Requirements Verification Matrix	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	In Review	Sep 26, 2024	Oct 1, 2024	Sprint 3	0.5
CDR/ISR Presentation	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Nov 5, 2024	Dec 3, 2024	Sprint 6	
CDR/ISR Team Eval	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Dec 5, 2024	Dec 10, 2024	Sprint 6	
PSR2	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Done	Sep 6, 2024	Sep 17, 2024	Sprint 2	2
Sponsor Meeting 3 Questions 9/18/2024	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Done	Sep 16, 2024	Sep 17, 2024	Sprint 2	0.5
Trades & Point Design	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Done	Sep 13, 2024	Sep 19, 2024	Sprint 2	2
Key personal- in Proposal	carlywingness	Done	Sep 16, 2024	Sep 21, 2024	Sprint 2	0.5
Related Work- in proposal	JohnDT-MechE	Done	Sep 16, 2024	Sep 21, 2024	Sprint 2	2
Signatures and resumes in Proposal	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Done	Sep 16, 2024	Sep 21, 2024	Sprint 2	0.5
