Title	Assignees	Status	Start date	End date	Sprint	Hours Completed
Research CSI/USB3 Cameras	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Done	Jan 13, 2025	Jan 17, 2025	Sprint 7	
Add UI controls	parkeramber	Done	Nov 6, 2024	Nov 14, 2024	Sprint 5	2
Update slides CDR Slides	DiegoG185593, parkeramber	Done	Nov 18, 2024	Nov 22, 2024	Sprint 5	5
Switch to GPU Projection	m-colson	Done	Nov 11, 2024	Nov 25, 2024	Sprint 5	7
Team Evaluation: Preliminary Design Review	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Done	Oct 25, 2024	Oct 29, 2024	Sprint 4	1
PDR Presentation	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Done	Sep 24, 2024	Oct 21, 2024	Sprint 4	2
System Requirements Document: 1.0-Introduction and Scope (Background, Need, ConOps, Stakeholders)	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Done	Sep 27, 2024	Oct 7, 2024	Sprint 3	1.5
Preliminary Design Review Presentation	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Done	Oct 8, 2024	Oct 22, 2024	Sprint 4	5
Setup Websocket Connection Framework	m-colson	Done	Nov 1, 2024	Nov 4, 2024	Sprint 4	1
PSR5	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Done	Oct 16, 2024	Nov 5, 2024	Sprint 5	2
Fix Framebuffer Update Regression	m-colson	Done	Nov 4, 2024	Nov 6, 2024	Sprint 5	3
Team Evaluation: System Requirements	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Done	Oct 25, 2024	Oct 29, 2024	Sprint 4	1
Begin Planning for Client-Server Connection Protocol	m-colson	Done	Oct 31, 2024	Nov 4, 2024	Sprint 4	0.5
Review broken down dates for PDR to CDR update	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Done	Nov 5, 2024	Nov 5, 2024	Sprint 4	1
Basic Server Video Transmission	m-colson	Done	Nov 4, 2024	Nov 10, 2024	Sprint 5	6
Transfer slides from PDR to CDR	DiegoG185593, parkeramber	Done	Nov 18, 2024	Nov 22, 2024	Sprint 5	5
Update Risks	parkeramber	Done	Nov 18, 2024	Nov 22, 2024	Sprint 5	1
Have GUI prototype	parkeramber	Done	Nov 4, 2024	Nov 10, 2024	Sprint 5	4
System Requirements Document:2.0-Applicable Documents (references in SRD including Standards)	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Done	Sep 27, 2024	Oct 7, 2024	Sprint 3	1
System Requirements Document:7.0-Notes	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Done	Sep 27, 2024	Oct 7, 2024	Sprint 3	0.5
System Requirements Document: 3.0-Definitions, Acronyms and Abbreviations	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Done	Sep 27, 2024	Oct 7, 2024	Sprint 3	0.25
